,amount,price,symbol
2012-01-03,117,1277.06,SPX Index
2012-04-26,-234,1399.98,SPX Index
2012-07-02,240,1365.51,SPX Index
2012-10-26,-246,1411.94,SPX Index
2012-12-14,246,1413.58,SPX Index
2013-06-24,-246,1573.09,SPX Index
2013-07-19,228,1692.09,SPX Index
2013-08-28,-210,1634.96,SPX Index
2013-09-25,203,1692.77,SPX Index
2014-02-04,-196,1755.2,SPX Index
2014-03-04,184,1873.91,SPX Index
2014-04-17,-172,1864.85,SPX Index
2014-05-06,171,1867.72,SPX Index
2014-08-08,-170,1931.59,SPX Index
2014-09-03,164,2000.72,SPX Index
2014-10-07,-158,1935.1,SPX Index
2014-11-11,150,2039.68,SPX Index
2015-01-05,-142,2020.58,SPX Index
2015-01-16,142,2019.42,SPX Index
2015-01-20,-142,2022.55,SPX Index
2015-02-18,137,2099.68,SPX Index
2015-03-30,-132,2086.24,SPX Index
2015-04-23,130,2112.93,SPX Index
2015-06-17,-128,2100.44,SPX Index
2015-07-31,128,2103.84,SPX Index
2015-08-20,-128,2035.73,SPX Index
2015-10-14,131,1994.24,SPX Index
2015-12-11,-134,2012.37,SPX Index
2016-03-03,135,1993.4,SPX Index
2016-05-20,-136,2052.32,SPX Index
2016-06-09,132,2115.48,SPX Index
2016-07-08,-128,2129.9,SPX Index
2016-07-12,127,2152.14,SPX Index
2016-09-14,-126,2125.77,SPX Index
2016-11-23,121,2204.72,SPX Index
2017-04-07,-116,2355.54,SPX Index
